Memory initialized!
CPU initialized
AFTER (0x074B) Opcode: 0xCD | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF9 | Z:0 N:0 H:0 C:0
BEFORE (0x07EE) Opcode: 0xF5 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF9 | Z:0 N:0 H:0 C:0
AFTER (0x07EE) Opcode: 0xF5 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF7 | Z:0 N:0 H:0 C:0
BEFORE (0x07EF) Opcode: 0xCD | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF7 | Z:0 N:0 H:0 C:0
AFTER (0x07EF) Opcode: 0xCD | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF5 | Z:0 N:0 H:0 C:0
BEFORE (0x073A) Opcode: 0xC5 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF5 | Z:0 N:0 H:0 C:0
AFTER (0x073A) Opcode: 0xC5 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
BEFORE (0x073B) Opcode: 0x01 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
AFTER (0x073B) Opcode: 0x01 | A:0xFF B:0xFB C:0x1E D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
BEFORE (0x073E) Opcode: 0x03 | A:0xFF B:0xFB C:0x1E D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
AFTER (0x073E) Opcode: 0x03 | A:0xFF B:0xFB C:0x1F D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
BEFORE (0x073F) Opcode: 0x78 | A:0xFF B:0xFB C:0x1F D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
AFTER (0x073F) Opcode: 0x78 | A:0xFB B:0xFB C:0x1F D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
BEFORE (0x0740) Opcode: 0xB1 | A:0xFB B:0xFB C:0x1F D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
AFTER (0x0740) Opcode: 0xB1 | A:0xFF B:0xFB C:0x1F D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
BEFORE (0x0741) Opcode: 0x28 | A:0xFF B:0xFB C:0x1F D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
AFTER (0x0741) Opcode: 0x28 | A:0xFF B:0xFB C:0x1F D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
BEFORE (0x0743) Opcode: 0xF0 | A:0xFF B:0xFB C:0x1F D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
AFTER (0x0743) Opcode: 0xF0 | A:0x00 B:0xFB C:0x1F D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
BEFORE (0x0745) Opcode: 0xFE | A:0x00 B:0xFB C:0x1F D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
AFTER (0x0745) Opcode: 0xFE | A:0x00 B:0xFB C:0x1F D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:1 H:0 C:1
BEFORE (0x0747) Opcode: 0x20 | A:0x00 B:0xFB C:0x1F D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:1 H:0 C:1
AFTER (0x0747) Opcode: 0x20 | A:0x00 B:0xFB C:0x1F D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:1 H:0 C:1
BEFORE (0x073E) Opcode: 0x03 | A:0x00 B:0xFB C:0x1F D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:1 H:0 C:1
AFTER (0x073E) Opcode: 0x03 | A:0x00 B:0xFB C:0x20 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:1 H:0 C:1
BEFORE (0x073F) Opcode: 0x78 | A:0x00 B:0xFB C:0x20 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:1 H:0 C:1
AFTER (0x073F) Opcode: 0x78 | A:0xFB B:0xFB C:0x20 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:1 H:0 C:1
BEFORE (0x0740) Opcode: 0xB1 | A:0xFB B:0xFB C:0x20 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:1 H:0 C:1
AFTER (0x0740) Opcode: 0xB1 | A:0xFB B:0xFB C:0x20 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
BEFORE (0x0741) Opcode: 0x28 | A:0xFB B:0xFB C:0x20 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
AFTER (0x0741) Opcode: 0x28 | A:0xFB B:0xFB C:0x20 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFF3 | Z:0 N:0 H:0 C:0
